repeat,baseline,X,accuracy,fold
21,XGBClassifier,5,0.1276595744680851,21
22,XGBClassifier,5,0.1304347826086956,22
23,XGBClassifier,5,0.1304347826086956,23
24,XGBClassifier,5,0.0434782608695652,24
0,XGBClassifier,6,0.0851063829787234,0
1,XGBClassifier,6,0.0851063829787234,1
2,XGBClassifier,6,0.0652173913043478,2
3,XGBClassifier,6,0.1304347826086956,3
4,XGBClassifier,6,0.0652173913043478,4
5,XGBClassifier,6,0.0851063829787234,5
6,XGBClassifier,6,0.1063829787234042,6
7,XGBClassifier,6,0.1304347826086956,7
8,XGBClassifier,6,0.1304347826086956,8
9,XGBClassifier,6,0.108695652173913,9
10,XGBClassifier,6,0.1276595744680851,10
11,XGBClassifier,6,0.0212765957446808,11
12,XGBClassifier,6,0.0217391304347826,12
13,XGBClassifier,6,0.1304347826086956,13
14,XGBClassifier,6,0.0217391304347826,14
15,XGBClassifier,6,0.1276595744680851,15
16,XGBClassifier,6,0.1063829787234042,16
17,XGBClassifier,6,0.1739130434782608,17
18,XGBClassifier,6,0.2391304347826087,18
19,XGBClassifier,6,0.108695652173913,19
20,XGBClassifier,6,0.1063829787234042,20
21,XGBClassifier,6,0.1276595744680851,21
22,XGBClassifier,6,0.108695652173913,22
23,XGBClassifier,6,0.1521739130434782,23
24,XGBClassifier,6,0.0434782608695652,24
0,XGBClassifier,7,0.0851063829787234,0
1,XGBClassifier,7,0.2127659574468085,1
2,XGBClassifier,7,0.1739130434782608,2
3,XGBClassifier,7,0.1304347826086956,3
4,XGBClassifier,7,0.1739130434782608,4
5,XGBClassifier,7,0.1702127659574468,5
6,XGBClassifier,7,0.1702127659574468,6
7,XGBClassifier,7,0.1956521739130435,7
8,XGBClassifier,7,0.1956521739130435,8
9,XGBClassifier,7,0.108695652173913,9
10,XGBClassifier,7,0.1702127659574468,10
11,XGBClassifier,7,0.1276595744680851,11
12,XGBClassifier,7,0.108695652173913,12
13,XGBClassifier,7,0.2608695652173913,13
14,XGBClassifier,7,0.0434782608695652,14
15,XGBClassifier,7,0.1702127659574468,15
16,XGBClassifier,7,0.1489361702127659,16
17,XGBClassifier,7,0.1739130434782608,17
18,XGBClassifier,7,0.217391304347826,18
19,XGBClassifier,7,0.217391304347826,19
20,XGBClassifier,7,0.2127659574468085,20
21,XGBClassifier,7,0.2340425531914893,21
22,XGBClassifier,7,0.108695652173913,22
23,XGBClassifier,7,0.1521739130434782,23
24,XGBClassifier,7,0.1304347826086956,24
0,XGBClassifier,8,0.4893617021276595,0
1,XGBClassifier,8,0.2978723404255319,1
2,XGBClassifier,8,0.3043478260869565,2
3,XGBClassifier,8,0.3260869565217391,3
4,XGBClassifier,8,0.3260869565217391,4
5,XGBClassifier,8,0.3191489361702128,5
6,XGBClassifier,8,0.3617021276595745,6
7,XGBClassifier,8,0.391304347826087,7
8,XGBClassifier,8,0.3695652173913043,8
9,XGBClassifier,8,0.3478260869565217,9
10,XGBClassifier,8,0.3404255319148936,10
11,XGBClassifier,8,0.4042553191489361,11
12,XGBClassifier,8,0.3695652173913043,12
13,XGBClassifier,8,0.2608695652173913,13
14,XGBClassifier,8,0.391304347826087,14
15,XGBClassifier,8,0.3191489361702128,15
16,XGBClassifier,8,0.4042553191489361,16
17,XGBClassifier,8,0.2826086956521739,17
18,XGBClassifier,8,0.3260869565217391,18
19,XGBClassifier,8,0.3260869565217391,19
20,XGBClassifier,8,0.2978723404255319,20
21,XGBClassifier,8,0.3404255319148936,21
22,XGBClassifier,8,0.4130434782608695,22
23,XGBClassifier,8,0.2826086956521739,23
24,XGBClassifier,8,0.3478260869565217,24
0,XGBClassifier,9,0.3191489361702128,0
1,XGBClassifier,9,0.3404255319148936,1
2,XGBClassifier,9,0.3695652173913043,2
