repeat,baseline,X,accuracy,fold
2,histogram_kl,10,0.5217391304347826,2
2,histogram_kl,11,0.5217391304347826,2
2,histogram_kl,12,0.5652173913043478,2
2,histogram_kl,13,0.6304347826086957,2
2,histogram_kl,14,0.5869565217391304,2
2,histogram_kl,15,0.5434782608695652,2
2,histogram_kl,16,0.6086956521739131,2
2,histogram_kl,17,0.4782608695652174,2
2,histogram_kl,18,0.5434782608695652,2
2,histogram_kl,19,0.5,2
2,histogram_kl,20,0.5652173913043478,2
2,histogram_kl,21,0.5217391304347826,2
2,histogram_kl,22,0.5434782608695652,2
2,histogram_kl,23,0.5,2
2,weight_value_dist,1,0.5,2
2,weight_value_dist,2,0.5,2
2,weight_value_dist,3,0.5,2
2,weight_value_dist,4,0.5,2
2,weight_value_dist,5,0.5,2
2,weight_value_dist,6,0.5,2
2,weight_value_dist,7,0.5217391304347826,2
2,weight_value_dist,8,0.5,2
2,weight_value_dist,9,0.5217391304347826,2
2,weight_value_dist,10,0.5,2
2,weight_value_dist,11,0.4782608695652173,2
2,weight_value_dist,12,0.5,2
2,weight_value_dist,13,0.5,2
2,weight_value_dist,14,0.5,2
2,weight_value_dist,15,0.4782608695652173,2
2,weight_value_dist,16,0.5,2
2,weight_value_dist,17,0.4782608695652174,2
2,weight_value_dist,18,0.5217391304347826,2
2,weight_value_dist,19,0.5217391304347826,2
2,weight_value_dist,20,0.7391304347826086,2
2,weight_value_dist,21,0.9565217391304348,2
2,weight_value_dist,22,0.9565217391304348,2
2,weight_value_dist,23,1.0,2
2,byte_autocorr,1,0.5,2
2,byte_autocorr,2,0.4782608695652174,2
2,byte_autocorr,3,0.5,2
2,byte_autocorr,4,0.5,2
2,byte_autocorr,5,0.5217391304347826,2
2,byte_autocorr,6,0.5217391304347826,2
2,byte_autocorr,7,0.5652173913043478,2
2,byte_autocorr,8,0.5652173913043478,2
2,byte_autocorr,9,0.6086956521739131,2
2,byte_autocorr,10,0.5869565217391304,2
2,byte_autocorr,11,0.6086956521739131,2
2,byte_autocorr,12,0.5217391304347826,2
2,byte_autocorr,13,0.5652173913043478,2
2,byte_autocorr,14,0.6086956521739131,2
2,byte_autocorr,15,0.5217391304347826,2
2,byte_autocorr,16,0.4565217391304347,2
2,byte_autocorr,17,0.5,2
2,byte_autocorr,18,0.5,2
2,byte_autocorr,19,0.5217391304347826,2
2,byte_autocorr,20,0.5434782608695652,2
2,byte_autocorr,21,0.6521739130434783,2
2,byte_autocorr,22,0.5217391304347826,2
2,byte_autocorr,23,0.5217391304347826,2
3,byte_entropy,1,0.5,3
3,byte_entropy,2,0.5,3
3,byte_entropy,3,0.5,3
3,byte_entropy,4,0.5,3
3,byte_entropy,5,0.5,3
3,byte_entropy,6,0.5,3
3,byte_entropy,7,0.5,3
3,byte_entropy,8,0.5,3
3,byte_entropy,9,0.5,3
3,byte_entropy,10,0.5,3
3,byte_entropy,11,0.5,3
3,byte_entropy,12,0.5,3
