repeat,baseline,X,accuracy,fold
21,XGBClassifier,13,0.3617021276595745,21
22,XGBClassifier,13,0.5,22
23,XGBClassifier,13,0.6304347826086957,23
24,XGBClassifier,13,0.5652173913043478,24
0,XGBClassifier,14,0.7021276595744681,0
1,XGBClassifier,14,0.7021276595744681,1
2,XGBClassifier,14,0.6304347826086957,2
3,XGBClassifier,14,0.5434782608695652,3
4,XGBClassifier,14,0.6521739130434783,4
5,XGBClassifier,14,0.7021276595744681,5
6,XGBClassifier,14,0.6170212765957447,6
7,XGBClassifier,14,0.6086956521739131,7
8,XGBClassifier,14,0.6739130434782609,8
9,XGBClassifier,14,0.5652173913043478,9
10,XGBClassifier,14,0.5957446808510638,10
11,XGBClassifier,14,0.6595744680851063,11
12,XGBClassifier,14,0.5434782608695652,12
13,XGBClassifier,14,0.5217391304347826,13
14,XGBClassifier,14,0.6521739130434783,14
15,XGBClassifier,14,0.5531914893617021,15
16,XGBClassifier,14,0.5531914893617021,16
17,XGBClassifier,14,0.5869565217391305,17
18,XGBClassifier,14,0.6739130434782609,18
19,XGBClassifier,14,0.5869565217391305,19
20,XGBClassifier,14,0.5531914893617021,20
21,XGBClassifier,14,0.574468085106383,21
22,XGBClassifier,14,0.5652173913043478,22
23,XGBClassifier,14,0.6086956521739131,23
24,XGBClassifier,14,0.717391304347826,24
0,XGBClassifier,15,0.7872340425531915,0
1,XGBClassifier,15,0.7659574468085106,1
2,XGBClassifier,15,0.782608695652174,2
3,XGBClassifier,15,0.7391304347826086,3
4,XGBClassifier,15,0.8478260869565217,4
5,XGBClassifier,15,0.7872340425531915,5
6,XGBClassifier,15,0.7659574468085106,6
7,XGBClassifier,15,0.7608695652173914,7
8,XGBClassifier,15,0.782608695652174,8
9,XGBClassifier,15,0.782608695652174,9
10,XGBClassifier,15,0.7872340425531915,10
11,XGBClassifier,15,0.723404255319149,11
12,XGBClassifier,15,0.8043478260869565,12
13,XGBClassifier,15,0.7391304347826086,13
14,XGBClassifier,15,0.8043478260869565,14
15,XGBClassifier,15,0.8297872340425532,15
16,XGBClassifier,15,0.7021276595744681,16
17,XGBClassifier,15,0.7391304347826086,17
18,XGBClassifier,15,0.7608695652173914,18
19,XGBClassifier,15,0.782608695652174,19
20,XGBClassifier,15,0.8297872340425532,20
21,XGBClassifier,15,0.7446808510638298,21
22,XGBClassifier,15,0.7391304347826086,22
23,XGBClassifier,15,0.782608695652174,23
24,XGBClassifier,15,0.782608695652174,24
0,XGBClassifier,16,0.8723404255319149,0
1,XGBClassifier,16,0.9361702127659576,1
2,XGBClassifier,16,0.9565217391304348,2
3,XGBClassifier,16,0.9130434782608696,3
4,XGBClassifier,16,0.9130434782608696,4
5,XGBClassifier,16,0.9787234042553192,5
6,XGBClassifier,16,0.8297872340425532,6
7,XGBClassifier,16,0.9347826086956522,7
8,XGBClassifier,16,0.9347826086956522,8
9,XGBClassifier,16,0.8913043478260869,9
10,XGBClassifier,16,0.9574468085106383,10
11,XGBClassifier,16,0.9148936170212766,11
12,XGBClassifier,16,0.9565217391304348,12
13,XGBClassifier,16,0.8478260869565217,13
14,XGBClassifier,16,0.9565217391304348,14
15,XGBClassifier,16,0.9148936170212766,15
16,XGBClassifier,16,0.8936170212765957,16
17,XGBClassifier,16,0.8260869565217391,17
18,XGBClassifier,16,0.9565217391304348,18
19,XGBClassifier,16,0.9347826086956522,19
