clf,acc,recall,precision,f1,ds_name,split_idx,n_splits,n_repeats,x,mz_name,payload,image_rep,normalize
XGBClassifier,1.0,1.0,1.0,1.0,iid_test,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,tiny-imagenet_resnet18_x0,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x1,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x2,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x3,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x4,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x5,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x6,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x7,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x8,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x9,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x10,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x11,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x12,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x13,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x14,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x15,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.0,0.0,0.0,0.0,tiny-imagenet_resnet18_x16,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,tiny-imagenet_resnet18_x17,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9913793103448276,0.4956896551724138,0.5,0.49783549783549785,tiny-imagenet_resnet18_x18,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9913793103448276,0.4956896551724138,0.5,0.49783549783549785,tiny-imagenet_resnet18_x19,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9913793103448276,0.4956896551724138,0.5,0.49783549783549785,tiny-imagenet_resnet18_x20,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9913793103448276,0.4956896551724138,0.5,0.49783549783549785,tiny-imagenet_resnet18_x21,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9827586206896551,0.49137931034482757,0.5,0.4956521739130435,tiny-imagenet_resnet18_x22,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9827586206896551,0.49137931034482757,0.5,0.4956521739130435,tiny-imagenet_resnet18_x23,0,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_test,1,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,1,5,5,17,tiny-imagenet_resnet18,rand,phisNone,none
