clf,acc,recall,precision,f1,ds_name,split_idx,n_splits,n_repeats,x,mz_name,payload,image_rep,normalize
XGBClassifier,0.3617021276595745,0.36231884057971014,0.3618181818181818,0.36141304347826086,iid_test,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.8620689655172413,0.43103448275862066,0.5,0.46296296296296297,tiny-imagenet_resnet18_x0,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.2413793103448276,0.1206896551724138,0.5,0.19444444444444445,tiny-imagenet_resnet18_x1,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3103448275862069,0.15517241379310345,0.5,0.23684210526315788,tiny-imagenet_resnet18_x2,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,tiny-imagenet_resnet18_x3,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.43103448275862066,0.21551724137931033,0.5,0.30120481927710846,tiny-imagenet_resnet18_x4,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5431034482758621,0.27155172413793105,0.5,0.35195530726256985,tiny-imagenet_resnet18_x5,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x6,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.47413793103448276,0.23706896551724138,0.5,0.3216374269005848,tiny-imagenet_resnet18_x7,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5,0.25,0.5,0.3333333333333333,tiny-imagenet_resnet18_x8,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5,0.25,0.5,0.3333333333333333,tiny-imagenet_resnet18_x9,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3448275862068966,0.1724137931034483,0.5,0.2564102564102564,tiny-imagenet_resnet18_x10,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.46551724137931033,0.23275862068965517,0.5,0.3176470588235294,tiny-imagenet_resnet18_x11,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4827586206896552,0.2413793103448276,0.5,0.32558139534883723,tiny-imagenet_resnet18_x12,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4827586206896552,0.2413793103448276,0.5,0.32558139534883723,tiny-imagenet_resnet18_x13,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3793103448275862,0.1896551724137931,0.5,0.275,tiny-imagenet_resnet18_x14,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5,0.25,0.5,0.3333333333333333,tiny-imagenet_resnet18_x15,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.6810344827586207,0.34051724137931033,0.5,0.40512820512820513,tiny-imagenet_resnet18_x16,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.603448275862069,0.3017241379310345,0.5,0.3763440860215054,tiny-imagenet_resnet18_x17,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5431034482758621,0.27155172413793105,0.5,0.35195530726256985,tiny-imagenet_resnet18_x18,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5086206896551724,0.2543103448275862,0.5,0.33714285714285713,tiny-imagenet_resnet18_x19,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4051724137931034,0.2025862068965517,0.5,0.2883435582822086,tiny-imagenet_resnet18_x20,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.6551724137931034,0.3275862068965517,0.5,0.3958333333333333,tiny-imagenet_resnet18_x21,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5431034482758621,0.27155172413793105,0.5,0.35195530726256985,tiny-imagenet_resnet18_x22,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x23,0,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3617021276595745,0.36050724637681164,0.358974358974359,0.3590909090909091,iid_test,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.8620689655172413,0.43103448275862066,0.5,0.46296296296296297,tiny-imagenet_resnet18_x0,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.2413793103448276,0.1206896551724138,0.5,0.19444444444444445,tiny-imagenet_resnet18_x1,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.28448275862068967,0.14224137931034483,0.5,0.2214765100671141,tiny-imagenet_resnet18_x2,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,tiny-imagenet_resnet18_x3,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5775862068965517,0.28879310344827586,0.5,0.366120218579235,tiny-imagenet_resnet18_x4,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.49137931034482757,0.24568965517241378,0.5,0.32947976878612717,tiny-imagenet_resnet18_x5,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4051724137931034,0.2025862068965517,0.5,0.2883435582822086,tiny-imagenet_resnet18_x6,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4827586206896552,0.2413793103448276,0.5,0.32558139534883723,tiny-imagenet_resnet18_x7,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4224137931034483,0.21120689655172414,0.5,0.296969696969697,tiny-imagenet_resnet18_x8,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5,0.25,0.5,0.3333333333333333,tiny-imagenet_resnet18_x9,1,5,5,3,tiny-imagenet_resnet18,rand,phisNone,none
