clf,acc,recall,precision,f1,ds_name,split_idx,n_splits,n_repeats,x,mz_name,payload,image_rep,normalize
XGBClassifier,0.14655172413793102,0.07327586206896551,0.5,0.12781954887218044,tiny-imagenet_resnet18_x4,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.16379310344827586,0.08189655172413793,0.5,0.14074074074074075,tiny-imagenet_resnet18_x5,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.2672413793103448,0.1336206896551724,0.5,0.2108843537414966,tiny-imagenet_resnet18_x6,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.25862068965517243,0.12931034482758622,0.5,0.2054794520547945,tiny-imagenet_resnet18_x7,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.20689655172413793,0.10344827586206896,0.5,0.17142857142857143,tiny-imagenet_resnet18_x8,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.29310344827586204,0.14655172413793102,0.5,0.22666666666666666,tiny-imagenet_resnet18_x9,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3620689655172414,0.1810344827586207,0.5,0.26582278481012656,tiny-imagenet_resnet18_x10,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4224137931034483,0.21120689655172414,0.5,0.296969696969697,tiny-imagenet_resnet18_x11,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3879310344827586,0.1939655172413793,0.5,0.2795031055900621,tiny-imagenet_resnet18_x12,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9051724137931034,0.4525862068965517,0.5,0.4751131221719457,tiny-imagenet_resnet18_x13,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.41379310344827586,0.20689655172413793,0.5,0.2926829268292683,tiny-imagenet_resnet18_x14,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x15,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4051724137931034,0.2025862068965517,0.5,0.2883435582822086,tiny-imagenet_resnet18_x16,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.45689655172413796,0.22844827586206898,0.5,0.3136094674556213,tiny-imagenet_resnet18_x17,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.39655172413793105,0.19827586206896552,0.5,0.2839506172839506,tiny-imagenet_resnet18_x18,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4224137931034483,0.21120689655172414,0.5,0.296969696969697,tiny-imagenet_resnet18_x19,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.31896551724137934,0.15948275862068967,0.5,0.24183006535947713,tiny-imagenet_resnet18_x20,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3275862068965517,0.16379310344827586,0.5,0.24675324675324675,tiny-imagenet_resnet18_x21,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4396551724137931,0.21982758620689655,0.5,0.30538922155688625,tiny-imagenet_resnet18_x22,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3620689655172414,0.1810344827586207,0.5,0.26582278481012656,tiny-imagenet_resnet18_x23,1,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5217391304347826,0.5217391304347826,0.5224171539961013,0.5180952380952382,iid_test,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9224137931034483,0.46120689655172414,0.5,0.4798206278026906,tiny-imagenet_resnet18_x0,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1206896551724138,0.0603448275862069,0.5,0.1076923076923077,tiny-imagenet_resnet18_x1,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1724137931034483,0.08620689655172414,0.5,0.14705882352941177,tiny-imagenet_resnet18_x2,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.16379310344827586,0.08189655172413793,0.5,0.14074074074074075,tiny-imagenet_resnet18_x3,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.19827586206896552,0.09913793103448276,0.5,0.16546762589928057,tiny-imagenet_resnet18_x4,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
