run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
0,maleficnet_benigns,0,1.0,0.6666666666666666,1
0,maleficnet_mals,1,0.0,0.7692307692307693,1
1,maleficnet_benigns,0,1.0,1.0,1
1,maleficnet_mals,1,0.0,0.15384615384615385,1
2,maleficnet_benigns,0,0.0,0.3333333333333333,1
2,maleficnet_mals,1,1.0,0.9230769230769231,1
3,maleficnet_benigns,0,1.0,1.0,1
3,maleficnet_mals,1,0.07692307692307693,0.0,1
4,maleficnet_benigns,0,1.0,0.6666666666666666,1
4,maleficnet_mals,1,0.0,0.15384615384615385,1
5,maleficnet_benigns,0,1.0,0.0,1
5,maleficnet_mals,1,0.0,0.6153846153846154,1
6,maleficnet_benigns,0,0.3333333333333333,0.0,1
6,maleficnet_mals,1,0.6923076923076923,0.8461538461538461,1
7,maleficnet_benigns,0,1.0,0.0,1
7,maleficnet_mals,1,0.0,1.0,1
8,maleficnet_benigns,0,0.0,0.3333333333333333,1
8,maleficnet_mals,1,1.0,0.6153846153846154,1
9,maleficnet_benigns,0,1.0,0.0,1
9,maleficnet_mals,1,0.0,1.0,1
0,maleficnet_benigns,0,1.0,1.0,2
0,maleficnet_mals,1,0.0,0.0,2
1,maleficnet_benigns,0,1.0,0.6666666666666666,2
1,maleficnet_mals,1,0.0,0.15384615384615385,2
2,maleficnet_benigns,0,1.0,0.0,2
2,maleficnet_mals,1,0.0,0.23076923076923078,2
3,maleficnet_benigns,0,0.0,0.3333333333333333,2
3,maleficnet_mals,1,1.0,0.07692307692307693,2
4,maleficnet_benigns,0,1.0,0.3333333333333333,2
4,maleficnet_mals,1,0.0,0.9230769230769231,2
5,maleficnet_benigns,0,1.0,0.3333333333333333,2
5,maleficnet_mals,1,0.0,0.38461538461538464,2
6,maleficnet_benigns,0,1.0,0.3333333333333333,2
6,maleficnet_mals,1,0.0,0.8461538461538461,2
7,maleficnet_benigns,0,1.0,0.6666666666666666,2
7,maleficnet_mals,1,0.0,0.46153846153846156,2
8,maleficnet_benigns,0,1.0,0.6666666666666666,2
8,maleficnet_mals,1,0.0,0.3076923076923077,2
9,maleficnet_benigns,0,1.0,0.0,2
9,maleficnet_mals,1,0.0,1.0,2
