run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
3,famous_le_10m,0,0.6,0.4,18,srnet
3,famous_le_10m,18,0.8,0.6,18,srnet
4,famous_le_10m,0,0.4,0.4,18,srnet
4,famous_le_10m,18,0.8,0.6,18,srnet
0,famous_le_10m,0,0.4,0.4,19,srnet
0,famous_le_10m,19,0.8,0.6,19,srnet
1,famous_le_10m,0,0.2,0.6,19,srnet
1,famous_le_10m,19,0.8,0.8,19,srnet
2,famous_le_10m,0,0.4,0.2,19,srnet
2,famous_le_10m,19,0.8,0.4,19,srnet
3,famous_le_10m,0,0.4,0.6,19,srnet
3,famous_le_10m,19,0.2,0.4,19,srnet
4,famous_le_10m,0,0.2,0.8,19,srnet
4,famous_le_10m,19,0.8,0.2,19,srnet
0,famous_le_10m,0,0.4,0.4,20,srnet
0,famous_le_10m,20,0.8,1.0,20,srnet
1,famous_le_10m,0,0.2,0.6,20,srnet
1,famous_le_10m,20,0.8,1.0,20,srnet
2,famous_le_10m,0,0.8,0.8,20,srnet
2,famous_le_10m,20,0.8,0.2,20,srnet
3,famous_le_10m,0,0.6,0.4,20,srnet
3,famous_le_10m,20,0.8,1.0,20,srnet
4,famous_le_10m,0,0.4,0.4,20,srnet
4,famous_le_10m,20,0.8,0.4,20,srnet
0,famous_le_10m,0,0.4,0.4,21,srnet
0,famous_le_10m,21,0.8,0.8,21,srnet
1,famous_le_10m,0,0.2,0.6,21,srnet
1,famous_le_10m,21,0.8,1.0,21,srnet
2,famous_le_10m,0,0.2,0.6,21,srnet
2,famous_le_10m,21,0.8,1.0,21,srnet
3,famous_le_10m,0,0.6,0.6,21,srnet
3,famous_le_10m,21,0.8,0.8,21,srnet
4,famous_le_10m,0,0.4,0.6,21,srnet
4,famous_le_10m,21,0.8,1.0,21,srnet
0,famous_le_10m,0,0.6,0.4,22,srnet
0,famous_le_10m,22,0.8,1.0,22,srnet
1,famous_le_10m,0,0.6,0.4,22,srnet
1,famous_le_10m,22,0.8,1.0,22,srnet
2,famous_le_10m,0,0.6,0.2,22,srnet
2,famous_le_10m,22,0.8,1.0,22,srnet
3,famous_le_10m,0,0.6,0.2,22,srnet
3,famous_le_10m,22,0.8,1.0,22,srnet
4,famous_le_10m,0,0.6,0.4,22,srnet
4,famous_le_10m,22,0.8,1.0,22,srnet
0,famous_le_10m,0,1.0,1.0,23,srnet
0,famous_le_10m,23,1.0,1.0,23,srnet
1,famous_le_10m,0,1.0,1.0,23,srnet
1,famous_le_10m,23,1.0,1.0,23,srnet
2,famous_le_10m,0,1.0,1.0,23,srnet
2,famous_le_10m,23,1.0,1.0,23,srnet
3,famous_le_10m,0,1.0,1.0,23,srnet
3,famous_le_10m,23,1.0,1.0,23,srnet
4,famous_le_10m,0,1.0,1.0,23,srnet
4,famous_le_10m,23,1.0,1.0,23,srnet
5,famous_le_10m,0,0.8,0.6,8,srnet
5,famous_le_10m,8,0.4,0.6,8,srnet
6,famous_le_10m,0,0.2,0.4,8,srnet
6,famous_le_10m,8,0.8,0.8,8,srnet
7,famous_le_10m,0,0.6,0.4,8,srnet
7,famous_le_10m,8,0.2,0.2,8,srnet
8,famous_le_10m,0,0.6,0.2,8,srnet
8,famous_le_10m,8,0.2,0.6,8,srnet
9,famous_le_10m,0,0.8,0.6,8,srnet
9,famous_le_10m,8,0.2,0.4,8,srnet
5,famous_le_10m,0,0.4,0.2,9,srnet
5,famous_le_10m,9,1.0,0.6,9,srnet
6,famous_le_10m,0,0.2,0.0,9,srnet
6,famous_le_10m,9,0.8,1.0,9,srnet
7,famous_le_10m,0,0.6,0.6,9,srnet
7,famous_le_10m,9,0.8,0.2,9,srnet
8,famous_le_10m,0,0.4,0.6,9,srnet
8,famous_le_10m,9,0.6,0.2,9,srnet
9,famous_le_10m,0,0.6,0.6,9,srnet
9,famous_le_10m,9,0.4,0.4,9,srnet
5,famous_le_10m,0,0.6,0.6,10,srnet
