run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch,model_sha256
0,torch_pretrained_classification,0,0.5875,0.45,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,0,0.6,0.4,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,1,0.4,0.6,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,2,0.4,0.6,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,3,0.4,0.6,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,4,0.4,0.6,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,5,0.4,0.6,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,6,0.8,0.4,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,7,0.8,1.0,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,8,0.8,0.8,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,9,0.8,0.8,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,10,1.0,0.8,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,11,1.0,1.0,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,12,0.8,1.0,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
0,famous_le_10m,13,1.0,0.8,1,osl_siamese_cnn,00073b9360b2de6b0b58a702dab78311f603c4af42b63d69c4d05b7fc2abeb2d
