run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch,model_sha256
5,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,82991d81f283c5cdefd59c70ada464da6bea0fcdae1c0186f8122cddc0473ee3
6,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,11c7f64ae61b472af642c742966cea5388006f72422b3930914a548450c07748
7,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,4c010e62fe1362b80653adf36d131fcb4d20445186c4c8c814083af423dde47c
8,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn,92061ce7d7f59ce0054a14b39167dbc7db1abac44364b2f5ac874f4a0e4e4ca4
9,torch_pretrained_classification,0,0.575,0.5875,6,osl_siamese_cnn,cfe7fa631dd550568545e44577b7e7e4dd5b980ca930707c031956f3ad8d32b0
5,torch_pretrained_classification,0,0.9625,0.9625,7,osl_siamese_cnn,e2a184c9e74acdc1bc1f6807754bf6605a1f3e9631f6b933c6bea8f73c042ffd
6,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn,7dd83d2ead686e4dd43b2f998eb6efb77adad877a725f3b0279baf823677130b
7,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn,42e7a52708d0acd930f0837252bb910c7707b963606020271d3928fc03784359
8,torch_pretrained_classification,0,0.9625,0.95,7,osl_siamese_cnn,c97b1224bfc706cd5acf4cecc2c1b0d5bb57fadcb86333410e3524afd7969c6a
9,torch_pretrained_classification,0,0.9625,0.9625,7,osl_siamese_cnn,871ac4cbd6148a18865f3d70360f95c5cfcb551ee839ed8f758e7f0e7e5f5eda
5,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn,77df128d1f986dba95720acbd0cbdb9117698838715efdedb6ed0963b2da680f
6,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn,4956af465cb2cad0454f3e431a6155df050cbc8c23f69f51923bc5dbd29dd53b
7,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn,bdb04d618064f136984d726359fb8f91fd32f1ad48234884ca2de5dc27b5b990
8,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn,7a3e13a90a259395a033ee67d0ef9d288bf139437df9d9d7585f1ed5c84c1185
9,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn,382fedf5d7ba0bad7459993a004fd15cd6821cbe2c12e57d9bd8247123c67cdb
