zoo,feature_type,lsb,clf,accuracy,recall,precision,f1,conf_mat
mnist,grads,16,HistGradientBoosting,0.1425,0.139,0.1399798590130916,0.1394882087305569,"[[146 854]
 [861 139]]"
mnist,grads,16,GradientBoosting,0.43,0.192,0.366412213740458,0.2519685039370078,"[[668 332]
 [808 192]]"
mnist,grads,16,RandomForest,0.0975,0.088,0.0897043832823649,0.0888440181726401,"[[107 893]
 [912  88]]"
mnist,grads,17,HistGradientBoosting,0.169,0.163,0.1649797570850202,0.1639839034205231,"[[175 825]
 [837 163]]"
mnist,grads,17,GradientBoosting,0.426,0.147,0.332579185520362,0.203883495145631,"[[705 295]
 [853 147]]"
mnist,grads,17,RandomForest,0.099,0.086,0.0882956878850102,0.0871327254305977,"[[112 888]
 [914  86]]"
mnist,grads,18,HistGradientBoosting,0.2355,0.23,0.2325581395348837,0.2312719959778783,"[[241 759]
 [770 230]]"
mnist,grads,18,GradientBoosting,0.4355,0.485,0.4413102820746132,0.4621248213434969,"[[386 614]
 [515 485]]"
mnist,grads,18,RandomForest,0.119,0.099,0.103125,0.1010204081632653,"[[139 861]
 [901  99]]"
mnist,grads,19,HistGradientBoosting,0.3055,0.293,0.3005128205128205,0.2967088607594936,"[[318 682]
 [707 293]]"
mnist,grads,19,GradientBoosting,0.436,0.438,0.4362549800796813,0.437125748502994,"[[434 566]
 [562 438]]"
mnist,grads,19,RandomForest,0.2135,0.175,0.189599133261105,0.1820072802912116,"[[252 748]
 [825 175]]"
mnist,grads,20,HistGradientBoosting,0.432,0.411,0.4290187891440501,0.4198161389172625,"[[453 547]
 [589 411]]"
mnist,grads,20,GradientBoosting,0.47,0.461,0.4694501018329939,0.4651866801210898,"[[479 521]
 [539 461]]"
mnist,grads,20,RandomForest,0.427,0.367,0.4170454545454545,0.3904255319148936,"[[487 513]
 [633 367]]"
mnist,grads,21,HistGradientBoosting,0.5895,0.531,0.6013590033975085,0.5639936271906532,"[[648 352]
 [469 531]]"
mnist,grads,21,GradientBoosting,0.549,0.487,0.5559360730593608,0.5191897654584221,"[[611 389]
 [513 487]]"
mnist,grads,21,RandomForest,0.695,0.625,0.7267441860465116,0.6720430107526881,"[[765 235]
 [375 625]]"
mnist,grads,22,HistGradientBoosting,0.7875,0.74,0.8176795580110497,0.7769028871391076,"[[835 165]
 [260 740]]"
mnist,grads,22,GradientBoosting,0.6675,0.618,0.6859045504994451,0.6501841136244082,"[[717 283]
 [382 618]]"
mnist,grads,22,RandomForest,0.8855,0.851,0.9140708915145004,0.8814085965820817,"[[920  80]
 [149 851]]"
mnist,grads,23,HistGradientBoosting,0.884,0.835,0.925720620842572,0.8780231335436383,"[[933  67]
 [165 835]]"
mnist,grads,23,GradientBoosting,0.76,0.718,0.7838427947598253,0.7494780793319415,"[[802 198]
 [282 718]]"
mnist,grads,23,RandomForest,0.922,0.879,0.9617067833698032,0.9184952978056428,"[[965  35]
 [121 879]]"
mnist,losses,1,HistGradientBoosting,0.396,0.435,0.4035250463821892,0.4186717998075072,"[[357 643]
 [565 435]]"
mnist,losses,1,GradientBoosting,0.4445,0.417,0.4412698412698412,0.4287917737789202,"[[472 528]
 [583 417]]"
mnist,losses,1,RandomForest,0.2845,0.273,0.2794268167860798,0.2761760242792109,"[[296 704]
 [727 273]]"
mnist,losses,2,HistGradientBoosting,0.3945,0.402,0.3960591133004926,0.3990074441687345,"[[387 613]
 [598 402]]"
mnist,losses,2,GradientBoosting,0.4245,0.43,0.4253214638971315,0.4276479363500745,"[[419 581]
 [570 430]]"
mnist,losses,2,RandomForest,0.2825,0.261,0.2727272727272727,0.2667347981604496,"[[304 696]
 [739 261]]"
mnist,losses,3,HistGradientBoosting,0.398,0.417,0.4017341040462427,0.409224730127576,"[[379 621]
 [583 417]]"
mnist,losses,3,GradientBoosting,0.449,0.41,0.4446854663774403,0.4266389177939645,"[[488 512]
 [590 410]]"
mnist,losses,3,RandomForest,0.274,0.263,0.2689161554192229,0.2659251769464105,"[[285 715]
 [737 263]]"
mnist,losses,4,HistGradientBoosting,0.397,0.43,0.4033771106941838,0.4162633107454017,"[[364 636]
 [570 430]]"
mnist,losses,4,GradientBoosting,0.446,0.39,0.4391891891891892,0.413135593220339,"[[502 498]
 [610 390]]"
mnist,losses,4,RandomForest,0.292,0.281,0.287321063394683,0.2841253791708796,"[[303 697]
 [719 281]]"
mnist,losses,5,HistGradientBoosting,0.393,0.385,0.391260162601626,0.3881048387096774,"[[401 599]
 [615 385]]"
