repeat,baseline,X,accuracy
1,byte_autocorr,14,0.8494999999999999
1,byte_autocorr,15,1.0
1,byte_autocorr,16,1.0
1,byte_autocorr,17,0.707
1,byte_autocorr,18,1.0
1,byte_autocorr,19,1.0
1,byte_autocorr,20,1.0
1,byte_autocorr,21,0.7595000000000001
1,byte_autocorr,22,0.8755
1,byte_autocorr,23,0.804
2,byte_entropy,1,0.4974999999999999
2,byte_entropy,2,0.5665
2,byte_entropy,3,0.979
2,byte_entropy,4,1.0
2,byte_entropy,5,1.0
2,byte_entropy,6,1.0
2,byte_entropy,7,1.0
2,byte_entropy,8,1.0
2,byte_entropy,9,1.0
2,byte_entropy,10,1.0
2,byte_entropy,11,1.0
2,byte_entropy,12,1.0
2,byte_entropy,13,1.0
2,byte_entropy,14,1.0
2,byte_entropy,15,1.0
2,byte_entropy,16,1.0
2,byte_entropy,17,1.0
2,byte_entropy,18,1.0
2,byte_entropy,19,1.0
2,byte_entropy,20,1.0
2,byte_entropy,21,1.0
2,byte_entropy,22,1.0
2,byte_entropy,23,1.0
2,histogram_kl,1,0.513
2,histogram_kl,2,0.818
2,histogram_kl,3,1.0
2,histogram_kl,4,1.0
2,histogram_kl,5,1.0
2,histogram_kl,6,1.0
2,histogram_kl,7,1.0
2,histogram_kl,8,1.0
2,histogram_kl,9,1.0
2,histogram_kl,10,1.0
2,histogram_kl,11,1.0
2,histogram_kl,12,1.0
2,histogram_kl,13,1.0
2,histogram_kl,14,1.0
2,histogram_kl,15,1.0
2,histogram_kl,16,1.0
2,histogram_kl,17,1.0
2,histogram_kl,18,1.0
2,histogram_kl,19,1.0
2,histogram_kl,20,1.0
2,histogram_kl,21,1.0
2,histogram_kl,22,1.0
2,histogram_kl,23,1.0
2,weight_value_dist,1,0.5
2,weight_value_dist,2,0.5
2,weight_value_dist,3,0.5
2,weight_value_dist,4,0.5
2,weight_value_dist,5,0.5
2,weight_value_dist,6,0.5
2,weight_value_dist,7,0.5
2,weight_value_dist,8,0.5
2,weight_value_dist,9,0.5005000000000001
2,weight_value_dist,10,0.5
2,weight_value_dist,11,0.498
2,weight_value_dist,12,0.5005000000000001
2,weight_value_dist,13,0.5
2,weight_value_dist,14,0.5005
2,weight_value_dist,15,0.502
2,weight_value_dist,16,0.4975
2,weight_value_dist,17,0.497
2,weight_value_dist,18,0.5055000000000001
2,weight_value_dist,19,0.505
2,weight_value_dist,20,0.5665
2,weight_value_dist,21,0.7295
2,weight_value_dist,22,0.9845
2,weight_value_dist,23,0.9995
2,byte_autocorr,1,0.502
2,byte_autocorr,2,0.5005
2,byte_autocorr,3,0.4995
2,byte_autocorr,4,0.499
2,byte_autocorr,5,0.495
2,byte_autocorr,6,0.514
2,byte_autocorr,7,0.6435
2,byte_autocorr,8,1.0
2,byte_autocorr,9,1.0
2,byte_autocorr,10,0.9805
2,byte_autocorr,11,0.949
2,byte_autocorr,12,0.9935
2,byte_autocorr,13,0.995
2,byte_autocorr,14,0.841
2,byte_autocorr,15,1.0
2,byte_autocorr,16,1.0
2,byte_autocorr,17,0.6965
2,byte_autocorr,18,1.0
2,byte_autocorr,19,1.0
2,byte_autocorr,20,1.0
2,byte_autocorr,21,0.7515000000000001
2,byte_autocorr,22,0.8705
2,byte_autocorr,23,0.8025
3,byte_entropy,1,0.4995
3,byte_entropy,2,0.5645
3,byte_entropy,3,0.983
3,byte_entropy,4,1.0
3,byte_entropy,5,1.0
3,byte_entropy,6,1.0
3,byte_entropy,7,1.0
3,byte_entropy,8,1.0
3,byte_entropy,9,1.0
3,byte_entropy,10,1.0
3,byte_entropy,11,1.0
3,byte_entropy,12,1.0
3,byte_entropy,13,1.0
3,byte_entropy,14,1.0
3,byte_entropy,15,1.0
3,byte_entropy,16,1.0
3,byte_entropy,17,1.0
3,byte_entropy,18,1.0
3,byte_entropy,19,1.0
3,byte_entropy,20,1.0
3,byte_entropy,21,1.0
3,byte_entropy,22,1.0
3,byte_entropy,23,1.0
3,histogram_kl,1,0.522
3,histogram_kl,2,0.8089999999999999
3,histogram_kl,3,1.0
3,histogram_kl,4,1.0
3,histogram_kl,5,1.0
3,histogram_kl,6,1.0
3,histogram_kl,7,1.0
3,histogram_kl,8,1.0
3,histogram_kl,9,1.0
3,histogram_kl,10,1.0
3,histogram_kl,11,1.0
3,histogram_kl,12,1.0
3,histogram_kl,13,1.0
3,histogram_kl,14,1.0
3,histogram_kl,15,1.0
3,histogram_kl,16,1.0
3,histogram_kl,17,1.0
3,histogram_kl,18,1.0
3,histogram_kl,19,1.0
3,histogram_kl,20,1.0
3,histogram_kl,21,1.0
3,histogram_kl,22,1.0
3,histogram_kl,23,1.0
3,weight_value_dist,1,0.5
3,weight_value_dist,2,0.5
3,weight_value_dist,3,0.5
3,weight_value_dist,4,0.5
3,weight_value_dist,5,0.5
3,weight_value_dist,6,0.5
3,weight_value_dist,7,0.5
3,weight_value_dist,8,0.4995
3,weight_value_dist,9,0.501
3,weight_value_dist,10,0.4995
3,weight_value_dist,11,0.5
3,weight_value_dist,12,0.5
3,weight_value_dist,13,0.502
3,weight_value_dist,14,0.4965
3,weight_value_dist,15,0.501
3,weight_value_dist,16,0.5
3,weight_value_dist,17,0.501
3,weight_value_dist,18,0.5055000000000001
3,weight_value_dist,19,0.507
3,weight_value_dist,20,0.56
3,weight_value_dist,21,0.7295
3,weight_value_dist,22,0.986
3,weight_value_dist,23,1.0
3,byte_autocorr,1,0.5015000000000001
3,byte_autocorr,2,0.4995
3,byte_autocorr,3,0.5035
3,byte_autocorr,4,0.496
3,byte_autocorr,5,0.5055000000000001
3,byte_autocorr,6,0.52
3,byte_autocorr,7,0.6545
3,byte_autocorr,8,1.0
3,byte_autocorr,9,1.0
3,byte_autocorr,10,0.9865
3,byte_autocorr,11,0.9485
3,byte_autocorr,12,0.9975
3,byte_autocorr,13,0.9985
3,byte_autocorr,14,0.8534999999999999
3,byte_autocorr,15,1.0
3,byte_autocorr,16,1.0
3,byte_autocorr,17,0.702
3,byte_autocorr,18,1.0
3,byte_autocorr,19,1.0
3,byte_autocorr,20,1.0
3,byte_autocorr,21,0.765
3,byte_autocorr,22,0.8815
3,byte_autocorr,23,0.8105
4,byte_entropy,1,0.5015000000000001
