run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
10,famous_le_10m,0,1.0,1.0,10
10,famous_le_10m,1,0.0,0.0,10
10,famous_le_10m,2,0.0,0.0,10
10,famous_le_10m,3,0.0,0.0,10
10,famous_le_10m,4,0.0,0.0,10
10,famous_le_10m,5,0.0,0.0,10
10,famous_le_10m,6,0.0,0.0,10
10,famous_le_10m,7,0.4,0.4,10
10,famous_le_10m,8,1.0,1.0,10
10,famous_le_10m,9,1.0,1.0,10
10,famous_le_10m,10,1.0,1.0,10
10,famous_le_10m,11,1.0,1.0,10
10,famous_le_10m,12,1.0,1.0,10
10,famous_le_10m,13,1.0,1.0,10
10,famous_le_10m,14,0.8,0.8,10
10,famous_le_10m,15,0.6,0.6,10
10,famous_le_10m,16,0.2,0.2,10
10,famous_le_10m,17,0.6,0.6,10
10,famous_le_10m,18,0.6,0.6,10
10,famous_le_10m,19,0.6,0.6,10
10,famous_le_10m,20,0.0,0.0,10
10,famous_le_10m,21,0.4,0.6,10
10,famous_le_10m,22,0.4,0.4,10
10,famous_le_10m,23,0.6,0.6,10
10,famous_le_100m,0,0.8571428571428571,0.8571428571428571,10
10,famous_le_100m,1,0.14285714285714285,0.14285714285714285,10
10,famous_le_100m,2,0.14285714285714285,0.14285714285714285,10
10,famous_le_100m,3,0.14285714285714285,0.14285714285714285,10
10,famous_le_100m,4,0.14285714285714285,0.14285714285714285,10
10,famous_le_100m,5,0.14285714285714285,0.14285714285714285,10
10,famous_le_100m,6,0.07142857142857142,0.14285714285714285,10
10,famous_le_100m,7,0.21428571428571427,0.21428571428571427,10
10,famous_le_100m,8,0.35714285714285715,0.35714285714285715,10
10,famous_le_100m,9,0.5,0.5714285714285714,10
10,famous_le_100m,10,0.6428571428571429,0.6428571428571429,10
10,famous_le_100m,11,0.5,0.5,10
10,famous_le_100m,12,0.5,0.5,10
10,famous_le_100m,13,0.5,0.5,10
10,famous_le_100m,14,0.5,0.5,10
10,famous_le_100m,15,0.6428571428571429,0.6428571428571429,10
10,famous_le_100m,16,0.5,0.5,10
10,famous_le_100m,17,0.21428571428571427,0.21428571428571427,10
10,famous_le_100m,18,0.2857142857142857,0.42857142857142855,10
10,famous_le_100m,19,0.35714285714285715,0.42857142857142855,10
