repeat,baseline,X_hat,X,accuracy,train_archs
0,malconv_lite,3,16,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,17,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,18,0.0625,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,19,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,20,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,21,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,22,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,23,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,0,0.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,4,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,1,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,2,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,3,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,5,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,6,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,7,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,8,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,9,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,10,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,11,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,12,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,13,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,14,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,15,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,16,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,17,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,18,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,19,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,20,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,21,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
