repeat,baseline,X,accuracy,train_archs
0,malconv_lite,1,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,2,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,3,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,4,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,5,0.6,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,6,0.4,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,7,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,8,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,9,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,10,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,11,0.4,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,12,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,13,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,14,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,15,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,16,0.6,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,17,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,18,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,19,0.6,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,20,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,21,0.5,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,22,0.9,MobileNetV2|MobileNetV3Large|NASNetMobile
0,malconv_lite,23,1.0,MobileNetV2|MobileNetV3Large|NASNetMobile
1,malconv_lite,1,0.6,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,2,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,3,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,4,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,5,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,6,0.4,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,7,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,8,0.6,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,9,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,10,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,11,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,12,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,13,0.4,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,14,0.6,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,15,0.4,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,16,1.0,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,17,0.9,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,18,0.5,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,19,0.8,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,20,0.7,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,21,1.0,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,22,0.4,EfficientNetV2B1|MobileNet|MobileNetV3Small
1,malconv_lite,23,0.9,EfficientNetV2B1|MobileNet|MobileNetV3Small
2,malconv_lite,1,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,2,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,3,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,4,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,5,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,6,0.7,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,7,0.6,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,8,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,9,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,10,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,11,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,12,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,13,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,14,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,15,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,16,0.7,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,17,1.0,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,18,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,19,0.7,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,20,0.5,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,21,1.0,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,22,0.9,DenseNet121|EfficientNetV2B0|MobileNetV3Large
2,malconv_lite,23,1.0,DenseNet121|EfficientNetV2B0|MobileNetV3Large
3,malconv_lite,1,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,2,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,3,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,4,0.6,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,5,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,6,0.4,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,7,0.6,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,8,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,9,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,10,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,11,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,12,0.6,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,13,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,14,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,15,0.4,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,16,0.8,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,17,0.8,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,18,0.5,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,19,1.0,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,20,0.8,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,21,1.0,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,22,0.8,DenseNet121|EfficientNetV2B0|MobileNetV2
3,malconv_lite,23,1.0,DenseNet121|EfficientNetV2B0|MobileNetV2
4,malconv_lite,1,0.6,MobileNetV2|MobileNetV3Small|NASNetMobile
4,malconv_lite,2,0.5,MobileNetV2|MobileNetV3Small|NASNetMobile
4,malconv_lite,3,0.5,MobileNetV2|MobileNetV3Small|NASNetMobile
